Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
298242	4000	16.5950	2	4013.5	272.36	633.5318	26.79	55	193	CID-MSn
298242	4001	16.5984	2	25.074	12.988	1132.4749	1.075	0	2	CID-MSn
298242	4002	16.6021	2	22.526	22.526	1525.0664	1	0	1	CID-MSn
298242	4003	16.6057	2	52.801	18.758	918.7192	3.776	2	6	CID-MSn
298242	4004	16.6095	2	1281.7	82.344	896.0383	9.08	21	95	CID-MSn
298242	4005	16.6132	2	67.903	13.021	1074.6967	3.944	5	8	CID-MSn
298242	4006	16.6169	2	124.56	30.581	1028.6237	3.19	1	9	CID-MSn
298242	4007	16.6207	2	1190.1	55.257	765.0637	6.753	25	79	CID-MSn
298242	4008	16.6244	2	91.824	27.965	1133.2307	3.331	2	6	CID-MSn
298242	4009	16.6282	2	975.87	43.364	949.518	4.301	14	73	CID-MSn
298242	4010	16.6317	1	1.3376E+06	14086	445.1207	40.25	33849	33849	HMS
298242	4011	16.6396	2	162.11	36.786	960.0409	8.191	6	17	CID-MSn
298242	4012	16.6434	2	4681.4	412.8	505.1487	38.21	48	138	CID-MSn
298242	4013	16.6465	2	164.83	23.363	1214.0625	3.712	7	14	CID-MSn
298242	4014	16.6501	2	142.91	48.617	1264.5918	4.426	1	10	CID-MSn
298242	4015	16.6539	2	2152	105.95	746.1902	9.714	38	115	CID-MSn
298242	4016	16.6576	2	40.656	10.777	1097.7413	1.557	0	5	CID-MSn
298242	4017	16.6614	2	1057.4	46.48	957.0972	6.633	24	91	CID-MSn
298242	4018	16.6651	2	67.077	15.698	1321.0411	3.367	3	8	CID-MSn
298242	4019	16.6689	2	1100	48.194	866.8052	5.318	25	79	CID-MSn
298242	4020	16.6726	2	70.987	20.204	1157.9407	4.531	3	7	CID-MSn
298242	4021	16.6761	1	1.3955E+06	14108	445.121	37.87	34179	34179	HMS
298242	4022	16.6840	2	1898.5	119.91	773.284	13.28	29	136	CID-MSn
298242	4023	16.6878	2	114.03	22.843	1181.6228	4.38	4	13	CID-MSn
298242	4024	16.6915	2	114.1	28.128	1058.172	5.488	3	13	CID-MSn
298242	4025	16.6954	2	4445.1	416.19	460.0664	33.7	43	170	CID-MSn
298242	4026	16.6987	2	97.378	24.047	489.4935	2.764	1	9	CID-MSn
298242	4027	16.7024	2	42.188	32.242	1231.8843	6.483	1	3	CID-MSn
298242	4028	16.7061	2	53.836	24.999	856.8473	3.325	1	5	CID-MSn
298242	4029	16.7098	2	1021.4	56.951	929.2231	6.506	14	87	CID-MSn
298242	4030	16.7135	2	95.995	29.236	1271.0886	3.901	1	9	CID-MSn
298242	4031	16.7173	2	667.03	44.418	923.6272	4.533	7	55	CID-MSn
298242	4032	16.7207	1	1.3409E+06	13534	445.1209	36.68	33463	33463	HMS
298242	4033	16.7286	2	7567	3422	341.1631	224.8	37	114	CID-MSn
298242	4034	16.7317	2	1056.5	91.237	1471.4314	9.004	13	75	CID-MSn
298242	4035	16.7354	2	1653.3	55.527	1407.7504	4.869	18	118	CID-MSn
298242	4036	16.7391	2	22.974	8.8372	1322.3494	2.953	2	4	CID-MSn
298242	4037	16.7428	2	28.519	13.313	1209.1365	1.751	0	3	CID-MSn
298242	4038	16.7465	2	431.57	28.696	973.0316	3.588	8	41	CID-MSn
298242	4039	16.7502	2	4.5301	4.5301	1293.1285	1	0	1	CID-MSn
298242	4040	16.7539	2	910.37	41.762	828.875	4.112	12	70	CID-MSn
298242	4041	16.7576	2	14.521	11.014	1187.9904	3.141	1	2	CID-MSn
298242	4042	16.7613	2	25.58	16.434	1723.6691	1.797	0	2	CID-MSn
298242	4043	16.7647	1	1.3215E+06	10333	445.1208	29.62	34990	34990	HMS
298242	4044	16.7728	2	3346.9	428.97	800.2083	31.06	33	134	CID-MSn
298242	4045	16.7766	2	45.521	19.353	1335.0509	5.565	2	7	CID-MSn
298242	4046	16.7803	2	77.351	26.559	1517.3799	2.35	1	5	CID-MSn
298242	4047	16.7840	2	92.918	26.94	1262.884	2.173	1	7	CID-MSn
298242	4048	16.7877	2	23.875	11.844	1510.6415	1.969	0	3	CID-MSn
298242	4049	16.7914	2	1105.1	52.549	887.5078	5.735	20	75	CID-MSn
298242	4050	16.7952	2	829.68	36.796	851.8289	4.846	19	64	CID-MSn
298242	4051	16.7991	2	7785.4	1193.7	431.3702	100.9	56	213	CID-MSn
298242	4052	16.8026	2	1276.9	79.286	795.6915	7.172	21	87	CID-MSn
298242	4053	16.8064	2	85.549	36.316	1112.4216	4.603	1	8	CID-MSn
298242	4054	16.8098	1	1.3655E+06	10096	445.121	28.04	34992	34992	HMS
298242	4055	16.8179	2	4656.9	910.07	519.1899	67.8	31	100	CID-MSn
298242	4056	16.8210	2	888.47	61.465	982.9274	5.454	13	57	CID-MSn
298242	4057	16.8247	2	98.083	20.951	1312.505	4.924	5	9	CID-MSn
298242	4058	16.8285	2	158.91	32.887	1481.1182	4.922	5	12	CID-MSn
298242	4059	16.8322	2	58.737	15.909	939.2682	3.821	3	6	CID-MSn
298242	4060	16.8359	2	39.672	34.486	1360.078	6.651	1	2	CID-MSn
298242	4061	16.8397	2	3612	357.11	405.7373	31.92	45	168	CID-MSn
298242	4062	16.8434	2	115	26.57	1330.9515	5.358	4	15	CID-MSn
298242	4063	16.8471	2	48.546	21.315	1144.3597	4.718	1	7	CID-MSn
298242	4064	16.8509	2	1143.7	45.667	867.3306	5.32	26	82	CID-MSn
298242	4065	16.8544	1	1.2294E+06	9761.1	445.1208	28.15	32567	32567	HMS
298242	4066	16.8625	2	3057.4	240.79	503.1993	18.83	33	97	CID-MSn
298242	4067	16.8656	2	972.7	48.939	1277.0713	6.014	24	71	CID-MSn
298242	4068	16.8694	2	82.373	17.233	986.6567	4.661	4	11	CID-MSn
298242	4069	16.8731	2	982.24	78.769	992.4749	7.981	12	73	CID-MSn
298242	4070	16.8769	2	110.51	23.396	1223.9067	2.447	2	9	CID-MSn
298242	4071	16.8806	2	99.114	35.923	1284.2509	5.041	2	6	CID-MSn
298242	4072	16.8844	2	3994.7	269.41	543.5622	25.28	45	178	CID-MSn
298242	4073	16.8882	2	24.737	21.337	1399.0986	6.276	1	2	CID-MSn
298242	4074	16.8918	2	46.231	15.578	1263.7891	3.513	2	6	CID-MSn
298242	4075	16.8955	2	728.54	35.939	1112.6534	5.097	18	64	CID-MSn
298242	4076	16.8990	1	1.3690E+06	10268	445.1207	26.91	32985	32985	HMS
298242	4077	16.9068	2	33.88	15.076	1619.1058	1.969	0	4	CID-MSn
298242	4078	16.9105	2	520.48	35.477	1026.1846	5.321	16	45	CID-MSn
298242	4079	16.9143	2	57.135	8.6851	1028.0677	3.198	6	10	CID-MSn
298242	4080	16.9180	2	138.33	26.691	1442.3945	2.193	2	8	CID-MSn
298242	4081	16.9218	2	5116.4	513.84	600.4134	37.59	53	169	CID-MSn
298242	4082	16.9256	2	18.175	7.8285	1294.5472	2.703	2	3	CID-MSn
298242	4083	16.9292	2	39.195	16.723	1180.7262	1.914	0	4	CID-MSn
298242	4084	16.9329	2	63.095	19.824	1061.2184	3.641	1	8	CID-MSn
298242	4085	16.9366	2	35.079	10.366	930.3932	3.979	3	5	CID-MSn
298242	4086	16.9403	2	71.728	15.64	1213.3257	1.923	0	8	CID-MSn
298242	4087	16.9438	1	1.2428E+06	10350	445.1206	27.53	30563	30563	HMS
298242	4088	16.9517	2	0	0	0	0	0	0	CID-MSn
298242	4089	16.9554	2	105.8	18.917	1047.6921	3.141	3	14	CID-MSn
298242	4090	16.9592	2	2495.9	196.83	691.6671	19.78	39	157	CID-MSn
298242	4091	16.9629	2	23.833	12.952	1395.606	1.19	0	2	CID-MSn
298242	4092	16.9666	2	996.28	109.69	827.9861	10.33	11	64	CID-MSn
298242	4093	16.9704	2	73.121	21.179	1148.4642	3.99	2	8	CID-MSn
298242	4094	16.9737	2	1226.9	45.116	954.891	5.048	23	90	CID-MSn
298242	4095	16.9775	2	7.2799	7.2799	1524.1913	1	0	1	CID-MSn
298242	4096	16.9812	2	1015.2	57.797	799.9836	5.489	17	65	CID-MSn
298242	4097	16.9849	2	37.58	11.177	1091.7662	4.133	3	8	CID-MSn
298242	4098	16.9880	1	1.2965E+06	8934.4	445.1207	22.65	30572	30572	HMS
298242	4099	16.9957	2	112.24	29.686	1118.2565	4.911	2	12	CID-MSn
298242	4100	16.9995	2	2572.8	223.43	511.8568	24.87	40	95	CID-MSn
298242	4101	17.0026	2	33.377	7.2038	923.0183	2.302	3	7	CID-MSn
298242	4102	17.0063	2	79.806	33.226	1029.9611	8.765	3	7	CID-MSn
298242	4103	17.0100	2	120.55	51.862	1440.215	7.082	2	8	CID-MSn
298242	4104	17.0138	2	54.93	13.671	1148.5803	2.428	2	6	CID-MSn
298242	4105	17.0177	2	4349.6	698.95	394.3169	58.83	49	181	CID-MSn
298242	4106	17.0214	2	73	24.42	1115.135	2.662	1	6	CID-MSn
298242	4107	17.0252	2	3779.6	320.48	444.7069	31.73	47	146	CID-MSn
298242	4108	17.0289	2	72.934	26.465	1144.8591	4.99	2	9	CID-MSn
298242	4109	17.0323	1	1.4069E+06	9535.8	445.1207	25.11	34231	34231	HMS
298242	4110	17.0402	2	11233	5982.2	429.2324	459.1	45	130	CID-MSn
298242	4111	17.0433	2	0	0	0	0	0	0	CID-MSn
298242	4112	17.0469	2	55.192	11.938	1033.7721	1.452	0	6	CID-MSn
298242	4113	17.0506	2	1022.4	46.35	789.1937	5.834	24	77	CID-MSn
298242	4114	17.0544	2	83.349	30.183	1279.2698	6.829	3	6	CID-MSn
298242	4115	17.0581	2	104.45	15.81	1020.2277	3.601	3	16	CID-MSn
298242	4116	17.0618	2	1036.7	48.462	868.2322	6.62	25	83	CID-MSn
298242	4117	17.0656	2	5.8719	5.8719	964.2803	1	0	1	CID-MSn
298242	4118	17.0693	2	105.69	28.89	944.92	4.681	2	11	CID-MSn
298242	4119	17.0730	2	770.99	39.304	848.8127	5.527	18	71	CID-MSn
298242	4120	17.0765	1	1.2303E+06	12332	445.1208	35.62	32650	32650	HMS
298242	4121	17.0846	2	3613.7	667.53	445.2271	54.72	40	111	CID-MSn
298242	4122	17.0876	2	67.622	24.162	1709.3931	4.999	3	6	CID-MSn
298242	4123	17.0913	2	97.753	32.698	1188.7268	3.753	1	9	CID-MSn
298242	4124	17.0951	2	929.53	45.259	978.6323	4.826	18	66	CID-MSn
298242	4125	17.0988	2	65.947	22.895	1170.6399	4.453	3	5	CID-MSn
298242	4126	17.1025	2	141.64	36.895	1108.6221	4.605	3	11	CID-MSn
298242	4127	17.1062	2	990.69	71.5	778.7661	7.067	13	71	CID-MSn
298242	4128	17.1100	2	100.58	18.629	914.8669	2.515	1	11	CID-MSn
298242	4129	17.1137	2	109.26	35.861	1218.9467	4.151	2	7	CID-MSn
298242	4130	17.1175	2	4723.7	364.49	403.8101	30.45	51	182	CID-MSn
298242	4131	17.1209	1	1.2761E+06	10194	445.1208	27	31042	31042	HMS
298242	4132	17.1288	2	5380.8	433.72	485.0747	37.6	51	130	CID-MSn
298242	4133	17.1319	2	4715.9	205.4	814.3749	19.54	64	219	CID-MSn
298242	4134	17.1357	2	2463.9	246.91	735.3974	25.27	32	130	CID-MSn
298242	4135	17.1394	2	82.179	13.346	916.1019	3.442	4	12	CID-MSn
298242	4136	17.1432	2	996.25	39.092	1192.3282	4.123	14	79	CID-MSn
298242	4137	17.1469	2	468.05	54.136	1054.0688	6.297	8	35	CID-MSn
298242	4138	17.1506	2	136.58	18.396	1151.4202	4.431	8	16	CID-MSn
298242	4139	17.1544	2	6786	805.41	559.5087	75.38	62	247	CID-MSn
298242	4140	17.1583	2	400.5	27.916	1001.9882	3.696	9	37	CID-MSn
298242	4141	17.1621	2	1001	77.533	791.5491	9.179	17	75	CID-MSn
298242	4142	17.1655	1	1.3920E+06	10714	445.1209	27.54	32642	32642	HMS
298242	4143	17.1734	2	3764.2	236.58	585.8261	22.25	50	185	CID-MSn
298242	4144	17.1772	2	2578.8	110.73	629.9822	11.2	44	147	CID-MSn
298242	4145	17.1810	2	134.95	25.362	1080.5953	3.195	3	12	CID-MSn
298242	4146	17.1847	2	106.3	29.908	1176.1222	4.679	4	7	CID-MSn
298242	4147	17.1890	2	3848.8	232.54	673.6232	19.78	42	185	CID-MSn
298242	4148	17.1928	2	489.87	44.168	990.3345	4.25	5	39	CID-MSn
298242	4149	17.1965	2	1218.2	64.118	892.2806	6.151	19	85	CID-MSn
298242	4150	17.2003	2	65.649	23.998	1401.5552	3.088	1	6	CID-MSn
298242	4151	17.2040	2	149.88	26.742	1404.0543	3.873	4	13	CID-MSn
298242	4152	17.2077	2	216.04	21.27	1082.5262	4.496	10	21	CID-MSn
298242	4153	17.2111	1	1.2498E+06	16709	747.3058	46.58	30932	30932	HMS
298242	4154	17.2191	2	65.491	19.78	1286.6226	3.057	2	7	CID-MSn
298242	4155	17.2228	2	4409	295.02	844.8822	23.65	51	202	CID-MSn
298242	4156	17.2266	2	115.72	18.632	1022.5643	2.84	2	15	CID-MSn
298242	4157	17.2304	2	5160.1	422.82	739.7949	45.7	69	259	CID-MSn
298242	4158	17.2339	2	118.53	26.261	1103.5909	3.899	1	14	CID-MSn
298242	4159	17.2376	2	55.493	30.474	1655.2078	4.145	1	4	CID-MSn
298242	4160	17.2413	2	44.758	18.347	968.9722	2.808	1	5	CID-MSn
298242	4161	17.2450	2	1073.9	50.63	833.8096	6.341	20	84	CID-MSn
298242	4162	17.2488	2	928.88	48.819	919.9689	6.88	20	86	CID-MSn
298242	4163	17.2525	2	455.44	28.94	1024.5281	4.27	15	44	CID-MSn
298242	4164	17.2560	1	1.5538E+06	28819	747.306	78.04	37341	37341	HMS
298242	4165	17.2638	2	0	0	0	0	0	0	CID-MSn
298242	4166	17.2675	2	3609.3	701.12	355.2347	62.47	42	144	CID-MSn
298242	4167	17.2713	2	90.76	34.031	978.5942	4.322	2	5	CID-MSn
298242	4168	17.2750	2	2760.1	705.53	603.5346	63.59	30	103	CID-MSn
298242	4169	17.2781	2	770.04	46.858	861.3892	5.268	10	66	CID-MSn
298242	4170	17.2819	2	902.24	62.057	826.8575	6.578	17	64	CID-MSn
298242	4171	17.2857	2	32.854	20.697	1260.9315	1.703	0	2	CID-MSn
298242	4172	17.2894	2	942.34	70.327	1018.3184	8.571	18	73	CID-MSn
298242	4173	17.2931	2	28.401	10.732	966.4103	3.162	2	5	CID-MSn
298242	4174	17.2968	2	110.61	23.178	1034.2401	4.062	4	13	CID-MSn
298242	4175	17.3002	1	1.5207E+06	65608	747.3062	166.6	32432	32432	HMS
298242	4176	17.3081	2	6327.6	1859.7	431.2052	111	38	122	CID-MSn
298242	4177	17.3112	2	5541.5	363.61	473.1043	30.75	53	204	CID-MSn
298242	4178	17.3148	2	86.726	16.382	1979.6489	2.287	2	9	CID-MSn
298242	4179	17.3185	2	0	0	0	0	0	0	CID-MSn
298242	4180	17.3221	2	279.46	29.253	985.7332	5.186	10	27	CID-MSn
298242	4181	17.3259	2	8868.3	1128	489.6714	96.25	76	252	CID-MSn
298242	4182	17.3295	2	514.75	63.335	1022.2428	6.277	6	39	CID-MSn
298242	4183	17.3332	2	19.778	8.2417	1370.2306	2.035	1	4	CID-MSn
298242	4184	17.3370	2	710.62	44.419	1005.4664	4.708	11	55	CID-MSn
298242	4185	17.3407	2	1040.5	75.67	800.7925	8.402	14	72	CID-MSn
298242	4186	17.3442	1	1.5109E+06	88055	747.306	243.7	33353	33353	HMS
298242	4187	17.3521	2	1218.8	62.846	952.2363	5.386	13	85	CID-MSn
298242	4188	17.3560	2	101.52	24.602	1620.8674	4.961	4	8	CID-MSn
298242	4189	17.3597	2	681.25	40.488	995.6744	4.033	8	52	CID-MSn
298242	4190	17.3634	2	39.525	19.846	1263.9835	3.449	1	4	CID-MSn
298242	4191	17.3671	2	1122.3	58.123	856.7635	6.142	22	76	CID-MSn
298242	4192	17.3709	2	349.61	24.742	1020.0581	3.501	8	37	CID-MSn
298242	4193	17.3747	2	945.95	43.646	872.9725	4.513	19	70	CID-MSn
298242	4194	17.3784	2	217.75	29.125	1244.4767	5.604	9	17	CID-MSn
298242	4195	17.3822	2	55.35	18.716	1046.7485	3.091	1	7	CID-MSn
298242	4196	17.3859	2	33.605	17.701	1233.9567	4.55	1	5	CID-MSn
298242	4197	17.3893	1	1.6314E+06	140156	747.3058	365.7	32331	32331	HMS
298242	4198	17.3971	2	89296	16188	738.6952	499.7	205	709	CID-MSn
298242	4199	17.3999	2	5849.2	392.44	494.7411	38.82	62	188	CID-MSn
298242	4200	17.4035	2	3143.6	159.14	706.0317	13.01	36	182	CID-MSn
298242	4201	17.4074	2	1397.3	59.761	829.2005	6.83	28	95	CID-MSn
298242	4202	17.4111	2	107.46	26.93	959.8481	4.799	5	8	CID-MSn
298242	4203	17.4149	2	63.102	23.563	1147.7877	3.02	1	6	CID-MSn
298242	4204	17.4186	2	608.07	46.01	1067.0905	5.443	14	47	CID-MSn
298242	4205	17.4223	2	147.64	43.717	1142.887	6.12	5	12	CID-MSn
298242	4206	17.4260	2	930.66	51.07	798.5789	7.385	25	76	CID-MSn
298242	4207	17.4298	2	1110.3	96.677	869.1281	11.01	18	75	CID-MSn
298242	4208	17.4333	1	1.6797E+06	132078	747.3058	345.5	33690	33690	HMS
298242	4209	17.4411	2	100.86	40.354	1255.126	5.976	2	7	CID-MSn
298242	4210	17.4449	2	80.879	20.791	1470.1229	3.771	2	10	CID-MSn
298242	4211	17.4486	2	5430.4	437.16	507.4417	35.18	57	196	CID-MSn
298242	4212	17.4524	2	97.54	26.484	1368.8174	5.601	4	8	CID-MSn
298242	4213	17.4562	2	9.0271	9.0271	1145.9867	1	0	1	CID-MSn
298242	4214	17.4600	2	4363.2	213.75	288.4405	20.09	48	181	CID-MSn
298242	4215	17.4636	2	67.003	20.061	1450.6124	3.007	1	7	CID-MSn
298242	4216	17.4673	2	962.68	112.41	913.861	12.14	12	71	CID-MSn
298242	4217	17.4712	2	3503.3	447.39	432.1601	41.57	34	144	CID-MSn
298242	4218	17.4749	2	804.78	47.755	975.3243	4.804	8	63	CID-MSn
298242	4219	17.4784	1	1.6980E+06	149014	747.3062	367.5	31947	31947	HMS
298242	4220	17.4862	2	16.549	8.7514	1890.6564	2.245	1	3	CID-MSn
298242	4221	17.4901	2	2697.7	90.756	715.1856	8.346	38	164	CID-MSn
298242	4222	17.4938	2	1097.4	59.822	973.6588	7.051	24	73	CID-MSn
298242	4223	17.4976	2	95.536	18.981	1102.9584	3.713	4	11	CID-MSn
298242	4224	17.5013	2	0	0	0	0	0	0	CID-MSn
298242	4225	17.5050	2	1118.1	72.518	1021.9519	9.711	24	91	CID-MSn
298242	4226	17.5088	2	65.341	20.019	1913.4125	3.306	3	6	CID-MSn
298242	4227	17.5125	2	1281.1	70.401	985.2103	7.317	19	99	CID-MSn
298242	4228	17.5162	2	923.03	43.191	988.6439	5.118	17	72	CID-MSn
298242	4229	17.5200	2	1070.5	54.106	912.9296	6.069	19	79	CID-MSn
298242	4230	17.5235	1	1.7141E+06	164287	747.3063	415.6	31720	31720	HMS
298242	4231	17.5313	2	138.54	22.874	1350.0166	5.947	8	12	CID-MSn
298242	4232	17.5351	2	4410.4	750.7	343.2136	72.66	38	144	CID-MSn
298242	4233	17.5388	2	1993.6	108.27	718.047	10.38	29	123	CID-MSn
298242	4234	17.5426	2	101.7	47.905	1446.4846	15.76	2	4	CID-MSn
298242	4235	17.5464	2	4981.1	876.92	321.0901	93.34	50	151	CID-MSn
298242	4236	17.5501	2	6.3275	6.3275	1493.4226	1	0	1	CID-MSn
298242	4237	17.5538	2	2788.4	157.96	713.0102	14.74	37	165	CID-MSn
298242	4238	17.5576	2	1803.1	114.82	783.701	13.17	34	123	CID-MSn
298242	4239	17.5615	2	4536.8	1048.5	515.3426	96.89	52	168	CID-MSn
298242	4240	17.5654	2	5178.8	459.14	489.1287	40.23	59	216	CID-MSn
298242	4241	17.5689	1	1.5403E+06	117679	747.3062	323.4	33059	33059	HMS
298242	4242	17.5770	2	2607.2	357.82	647.5756	37.72	36	152	CID-MSn
298242	4243	17.5808	2	4190.9	353.4	550.2036	38.75	59	197	CID-MSn
298242	4244	17.5847	2	638.49	56.357	1014.4723	4.603	6	43	CID-MSn
298242	4245	17.5884	2	80.286	15.828	1499.8828	2.125	2	8	CID-MSn
298242	4246	17.5921	2	138.61	33.846	1090.4954	3.758	2	10	CID-MSn
298242	4247	17.5958	2	938.94	56.281	884.6401	6.087	13	72	CID-MSn
298242	4248	17.5996	2	86.628	15.438	1243.7893	2.148	1	11	CID-MSn
298242	4249	17.6032	2	0	0	0	0	0	0	CID-MSn
298242	4250	17.6069	2	135.6	19.855	1331.6094	3.722	4	17	CID-MSn
298242	4251	17.6107	2	3325.8	208	518.5925	20.1	39	153	CID-MSn
298242	4252	17.6142	1	1.6378E+06	108700	747.3062	271	32859	32859	HMS
298242	4253	17.6222	2	5007.1	416.92	607.8137	35.4	51	197	CID-MSn
298242	4254	17.6256	2	26.361	11.02	1074.011	1.437	0	3	CID-MSn
298242	4255	17.6293	2	86.448	13.22	1139.3632	2.506	3	12	CID-MSn
298242	4256	17.6330	2	1216.6	71.923	789.9413	6.088	14	79	CID-MSn
298242	4257	17.6368	2	40.186	11.067	1170.4283	2.345	2	6	CID-MSn
298242	4258	17.6405	2	46.007	24.938	1122.9199	3.472	1	4	CID-MSn
298242	4259	17.6443	2	961	80	900.9217	8.703	14	71	CID-MSn
298242	4260	17.6480	2	34.951	24.699	1307.6996	2.409	1	2	CID-MSn
298242	4261	17.6517	2	830.85	43.22	1094.4298	5.16	14	69	CID-MSn
298242	4262	17.6555	2	111.76	33.084	1087.6003	3.553	2	8	CID-MSn
298242	4263	17.6589	1	1.6681E+06	103209	747.306	275.9	36319	36319	HMS
298242	4264	17.6669	2	930.67	75.848	864.9757	7.243	12	71	CID-MSn
298242	4265	17.6706	2	9.68	5.2655	918.666	1.193	0	2	CID-MSn
298242	4266	17.6743	2	909.11	38.017	1159.3823	4.314	18	70	CID-MSn
298242	4267	17.6781	2	357.6	38.72	1009.0793	4.454	7	30	CID-MSn
298242	4268	17.6819	2	66.094	23.866	1134.2958	4.694	2	8	CID-MSn
298242	4269	17.6856	2	66.653	21.114	1223.5699	4.317	2	8	CID-MSn
298242	4270	17.6893	2	959.11	62.501	902.1081	6.65	14	70	CID-MSn
298242	4271	17.6931	2	33.39	7.7895	1218.5275	2.347	2	7	CID-MSn
298242	4272	17.6968	2	107.94	17.071	1022.176	4.624	5	17	CID-MSn
298242	4273	17.7006	2	944.59	53.722	810.1031	5.371	13	73	CID-MSn
298242	4274	17.7040	1	1.5987E+06	96286	747.306	252.3	34081	34081	HMS
298242	4275	17.7120	2	124.24	24.95	1766.1547	3.587	2	11	CID-MSn
298242	4276	17.7157	2	102.85	19.248	1212.1407	5.045	5	11	CID-MSn
298242	4277	17.7194	2	2209.4	102.8	773.1243	10.38	35	151	CID-MSn
298242	4278	17.7232	2	87	25.952	1761.3374	3.916	3	7	CID-MSn
298242	4279	17.7269	2	1092	61.298	876.8395	6.461	22	79	CID-MSn
298242	4280	17.7307	2	395.55	30.424	956.2886	5.107	10	45	CID-MSn
298242	4281	17.7344	2	155.47	33.462	1002.7059	3.822	2	14	CID-MSn
298242	4282	17.7381	2	17.32	8.2186	1026.8766	1.806	0	3	CID-MSn
298242	4283	17.7418	2	49.814	13.025	1294.0851	2.115	2	5	CID-MSn
298242	4284	17.7456	2	1580.2	90.397	780.858	11.79	33	133	CID-MSn
298242	4285	17.7490	1	1.6490E+06	96414	747.306	258.7	35691	35691	HMS
298242	4286	17.7574	2	11450	3435.9	341.156	326.3	58	173	CID-MSn
298242	4287	17.7612	2	5545.2	1289.7	492.5187	109.9	52	173	CID-MSn
298242	4288	17.7649	2	37.727	11.282	1828.3464	2.005	1	5	CID-MSn
298242	4289	17.7686	2	77.92	28.586	1251.604	4.838	3	6	CID-MSn
298242	4290	17.7723	2	132.42	20.033	983.4807	2.548	3	12	CID-MSn
298242	4291	17.7761	2	82.989	51.337	1816.0929	8.277	2	5	CID-MSn
298242	4292	17.7799	2	2907.4	199.85	323.0732	19.2	41	131	CID-MSn
298242	4293	17.7836	2	30.854	13.004	1185.5892	3.284	1	6	CID-MSn
298242	4294	17.7873	2	0	0	0	0	0	0	CID-MSn
298242	4295	17.7910	2	6.414	3.7806	1269.8083	1.436	0	2	CID-MSn
298242	4296	17.7944	1	1.6694E+06	66832	747.3058	177.2	37317	37317	HMS
298242	4297	17.8022	2	3914.1	185.21	783.6321	17.83	55	225	CID-MSn
298242	4298	17.8060	2	910.61	69.545	1446.0696	7.577	13	69	CID-MSn
298242	4299	17.8097	2	91.842	34.717	1760.6152	6.503	2	7	CID-MSn
298242	4300	17.8134	2	37.37	13.149	1392.8499	1.584	0	4	CID-MSn
298242	4301	17.8171	2	10.148	7.2698	1289.6079	2.525	1	2	CID-MSn
298242	4302	17.8207	2	12.848	7.3925	1300.6122	2.71	1	3	CID-MSn
298242	4303	17.8244	2	23.833	8.5482	1211.6224	2.757	1	5	CID-MSn
298242	4304	17.8282	2	5107.3	247.74	476.7274	21.84	62	189	CID-MSn
298242	4305	17.8320	2	518.41	35.068	965.9346	6.721	17	53	CID-MSn
298242	4306	17.8358	2	128.62	28.184	1061.1078	3.198	3	10	CID-MSn
298242	4307	17.8392	1	1.5097E+06	54895	747.3057	148.1	34184	34184	HMS
298242	4308	17.8472	2	18.929	7.0617	1120.3107	1.19	0	3	CID-MSn
298242	4309	17.8511	2	7254.2	529.05	395.3372	49.28	74	240	CID-MSn
298242	4310	17.8546	2	4750.2	937.24	503.1484	84.72	35	105	CID-MSn
298242	4311	17.8576	2	110.14	34.99	1028.733	4.062	1	10	CID-MSn
298242	4312	17.8614	2	128.16	53.478	1120.6542	7.042	2	10	CID-MSn
298242	4313	17.8652	2	89.125	17.131	1023.9	3.704	5	10	CID-MSn
298242	4314	17.8689	2	82.539	16.38	1112.0752	2.545	1	11	CID-MSn
298242	4315	17.8726	2	1056.8	63.039	765.9235	5.661	13	72	CID-MSn
298242	4316	17.8764	2	52.444	33.016	1705.8204	3.897	1	4	CID-MSn
298242	4317	17.8800	2	90.574	15.276	1087.8536	3.41	3	14	CID-MSn
298242	4318	17.8835	1	1.7119E+06	42126	747.3058	101.6	35079	35079	HMS
298242	4319	17.8914	2	3063.3	240.8	509.9125	19.33	37	104	CID-MSn
298242	4320	17.8944	2	0	0	0	0	0	0	CID-MSn
298242	4321	17.8981	2	5478.2	323.82	597.5689	20.71	58	204	CID-MSn
298242	4322	17.9019	2	0	0	0	0	0	0	CID-MSn
298242	4323	17.9056	2	1003.7	57.834	962.848	4.486	11	67	CID-MSn
298242	4324	17.9094	2	830.68	39.467	992.5212	5.216	23	74	CID-MSn
298242	4325	17.9131	2	42.964	19.266	1170.573	6.598	3	5	CID-MSn
298242	4326	17.9168	2	83.099	13.677	896.7314	3.746	5	13	CID-MSn
298242	4327	17.9206	2	41.825	13.522	1270.1744	4.508	3	5	CID-MSn
298242	4328	17.9243	2	127.45	33.226	1179.1071	5.099	1	13	CID-MSn
298242	4329	17.9277	1	1.5779E+06	25124	747.3052	63.94	34572	34572	HMS
298242	4330	17.9356	2	61.126	31.715	1514.5455	2.157	1	3	CID-MSn
298242	4331	17.9393	2	66.293	23.722	1319.3575	2.731	2	5	CID-MSn
298242	4332	17.9429	2	37.211	22.217	1365.5613	5.815	2	4	CID-MSn
298242	4333	17.9466	2	163.79	25.979	1172.5938	2.526	2	13	CID-MSn
